;English Name;Имя;Особенности;Tier;Роль урона;Урон;Броня;XP;Описание 1;Описание 2;English Description 1;English Description 2
s;Cave Snake;Змея;POISON, DEX+;1;Слабый;5–7;;2;Сначала кажется, что это просто тёмный шнур или трещина среди камней, но если приглядеться, становится видно гладкое, напряжённое тело и слегка приподнятую голову.;Эта тварь редко промахивается. Её укус не выглядит опасным, но даже слабое касание оставляет после себя неизбежное, медленно нарастающее ядовитое жжение.;At first it looks like nothing more than a dark cord or a crack among the stones, but a closer look reveals a smooth tense body and a slightly raised head.;This creature rarely misses. Its bite does not seem dangerous, yet even the slightest touch leaves behind an inevitable slowly spreading poisonous burn.
r;Cave Rat;Крыса;—;1;Базовый;6–8;;3;Массивное сгорбленное тело размером с собаку, покрытое редкой свалявшейся шерстью. Вытянутая морда заканчивается длинными жёлтыми резцами, а маленькие мутные глаза постоянно выглядят голодными.;Крупная и настойчивая тварь, не выделяющаяся ни силой, ни скоростью. Но её укус способен доставить массу неприятностей.;A massive hunched body the size of a dog covered in sparse matted fur. Its elongated snout ends with long yellow incisors, while its small cloudy eyes always seem hungry.;A large and persistent creature that stands out neither by strength nor speed. Still, its bite is capable of causing serious trouble.
b;Bat;Летучая мышь;SPD+, ATK+, DEX+;1;Очень слабый;4–6;;2;Тонкое жилистое тело скрыто под складками тёмных кожистых крыльев. Узкая морда усеяна мелкими острыми зубами, а длинные когти цепко сжимают всё, за что тварь может ухватиться.;Быстрая и крайне юркая тварь, по которой тяжело попасть. Она не выдерживает серьёзных ударов, но способна измотать постоянными атаками и внезапными рывками.;A thin sinewy body hidden beneath folds of dark leathery wings. Its narrow snout is filled with small sharp teeth, while long claws tightly grip anything they can reach.;A fast and extremely agile creature that is difficult to hit. It cannot survive serious blows, yet it is capable of wearing enemies down with constant attacks and sudden lunges.
h;Cave Hound;Пещерный пес;SPD+;2;Сильный;8–12;;6;Крупное тело с широкой спиной, крепкими лапами и тяжёлой головой. Густая шерсть скрывает массивную мускулатуру, а приоткрытая пасть обнажает длинные клыки и потемневшие дёсны.;Сильный и выносливый хищник, удары которого ощущаются куда тяжелее, чем у других тварей. Рядом с ним любая ошибка быстро становится критической.;A large body with a broad back, powerful legs, and a heavy head. Thick fur hides massive muscles, while the slightly open maw reveals long fangs and darkened gums.;A strong and resilient predator whose attacks feel far heavier than those of other creatures. Any mistake made near it quickly becomes critical.
w;Worm;Червь;ARM;3;Слабый;8–13;3;8;Толстое бледное тело, покрытое плотной грубой кожей, разделённой на широкие сегменты. Безглазая голова заканчивается круглой пастью с несколькими рядами тупых зубов.;Медленная и крайне живучая тварь, плохо реагирующая на обычные удары. Её плотная шкура принимает на себя большую часть повреждений, позволяя существу продолжать давить вперёд.;A thick pale body covered in rough dense skin divided into wide segments. Its eyeless head ends in a round mouth lined with several rows of blunt teeth.;A slow and extremely resilient creature that barely reacts to ordinary attacks. Its dense hide absorbs most damage, allowing it to continue pushing forward.
f;Carrion Feeder;Падальщик;—;3;Базовый;10–16;;10;Крупная сутулая тварь с длинными передними лапами и впалым животом. Кожа местами натянута прямо на кости, а вытянутая морда покрыта тёмными засохшими пятнами. Маленькие глубоко посаженные глаза придают ему голодный и настороженный вид.;Выносливая и неприхотливая тварь, привыкшая рвать всё, что кажется слабее неё. Не обладает выдающейся силой или скоростью, но её трудно быстро измотать.;A large hunched creature with long forelimbs and a sunken belly. In some places the skin stretches tightly over the bones, while the elongated snout is covered with dark dried stains. Deep-set eyes give it a constantly hungry and wary appearance.;A resilient and unpretentious creature accustomed to tearing apart anything weaker than itself. It lacks exceptional strength or speed, but exhausting it quickly is difficult.
p;Armadillo Beast;Броненосец;ARM, SPD-;4;Слабый;10–15;7;13;Низкое массивное тело покрыто слоями тёмных костяных пластин, заходящих друг на друга как старая броня. Короткие лапы выглядят слишком тяжёлыми для его размеров, а маленькая голова почти скрыта под панцирем.;Тяжёлая и неповоротливая тварь, способная выдержать огромное количество ударов. Пробить её защиту гораздо сложнее, чем кажется с первого взгляда.;A low massive body covered in layers of dark bony plates overlapping like old armor. Its short legs appear too heavy for its size, while the small head is almost hidden beneath the shell.;A heavy and clumsy creature capable of enduring enormous punishment. Breaking through its defenses is far harder than it first appears.
c;Venom Centipede;Ядовитая многоножка;POISON;3;Базовый;10–16;;10;Длинное сегментированное тело, покрытое плотными тёмными пластинами. Десятки тонких лап тянутся вдоль всего туловища, а узкая голова заканчивается острыми жвалами. Вся тварь выглядит чужеродно и неприятно живой.;Даже неглубокий укус этой твари быстро напоминает о себе жгучей болью. Её яд действует медленно, но неизбежно, заставляя любую рану ощущаться опаснее, чем она выглядит.;A long segmented body covered in dense dark plates. Dozens of thin legs stretch along its entire length, while its narrow head ends in sharp mandibles. The whole creature looks alien and disturbingly alive.;Even a shallow bite from this creature quickly reminds itself with a burning pain. Its venom acts slowly but inevitably, making any wound feel far more dangerous than it appears.
c;Acid Centipede;Кислотная многоножка;ACID;3;Базовый;10–16;;10;Длинное сегментированное тело, покрытое плотными тёмными пластинами. Десятки тонких лап тянутся вдоль всего туловища, а узкая голова заканчивается острыми жвалами. Вся тварь выглядит чужеродно и неприятно живой.;Едкая слюна этой твари разъедает всё, к чему прикасается. Даже прочная защита после её укусов начинает казаться ненадёжной.;A long segmented body covered in dense dark plates. Dozens of thin legs stretch along its entire length, while its narrow head ends in sharp mandibles. The whole creature looks alien and disturbingly alive.;The acidic saliva of this creature dissolves everything it touches. Even strong armor begins to feel unreliable after its bites.
c;Fire Centipede;Огненная многоножка;FIRE;4;Сильный;13–19;;18;Длинное сегментированное тело, покрытое плотными тёмными пластинами. Между сегментами виднеются тонкие багровые прожилки, а жвала выглядят так, будто покрыты запёкшимися ожогами.;Её укусы оставляют после себя не только раны, но и ощущение жгучего жара. Даже лёгкое касание быстро начинает гореть так, словно плоть тлеет изнутри.;A long segmented body covered in dense dark plates. Thin crimson veins glow faintly between the segments, while its mandibles appear scorched and burned.;Its bites leave behind not only wounds, but also a sensation of intense burning heat. Even the slightest touch quickly feels as though flesh is smoldering from within.
a;Giant Venom Ant;Гигантский ядовитый муравей;SPD+, POISON;4;Слабый;11–16;;13;Вытянутое сегментированное тело покрыто плотным блестящим панцирем, а длинные лапы заканчиваются острыми когтями. Узкая голова с постоянно раскрытыми жвалами выглядит слишком крупной для такого тела.;Быстрая и настойчивая тварь, способная быстро добраться до цели. Её яд действует не сразу, но каждый укус делает следующую ошибку всё опаснее.;An elongated segmented body covered in a dense glossy shell, with long legs ending in sharp claws. Its narrow head with permanently opened mandibles looks too large for such a body.;A fast and persistent creature capable of reaching its target quickly. Its venom does not act immediately, but every bite makes the next mistake even more dangerous.
a;Giant Acid Ant;Гигантский кислотный муравей;SPD+, ACID;4;Базовый;13–19;;15;Вытянутое сегментированное тело покрыто плотным блестящим панцирем, а длинные лапы заканчиваются острыми когтями. Узкая голова с постоянно раскрытыми жвалами выглядит слишком крупной для такого тела.;Едкие выделения этой твари быстро разрушают любую защиту. Даже короткое столкновение с ней оставляет ощущение, будто броня начинает расползаться прямо на глазах.;An elongated segmented body covered in a dense glossy shell, with long legs ending in sharp claws. Its narrow head with permanently opened mandibles looks too large for such a body.;The corrosive secretions of this creature rapidly destroy any protection. Even a brief encounter leaves the feeling that armor is falling apart before your eyes.
a;Giant Fire Ant;Гигантский огненный муравей;SPD+, FIRE;4;Сильный;15–21;;18;Вытянутое сегментированное тело покрыто плотным блестящим панцирем, а длинные лапы заканчиваются острыми когтями. Узкая голова с постоянно раскрытыми жвалами выглядит слишком крупной для такого тела.;Укусы этой твари оставляют после себя резкую обжигающую боль. Кажется, будто жар проникает глубже обычной раны и продолжает разгораться внутри.;An elongated segmented body covered in a dense glossy shell, with long legs ending in sharp claws. Its narrow head with permanently opened mandibles looks too large for such a body.;The bites of this creature leave behind a sharp burning pain. It feels as though the heat sinks deeper than an ordinary wound and continues to spread inside the flesh.
d;Repair Drone;Ремонтный дрон;ARM, SPD+, F+, P!, NEU;5;Слабый;14–18;3;20;Небольшой металлический корпус усеян креплениями для инструментов, тонкими манипуляторами и выступающими кабелями. Крупный оптический сенсор закреплён в передней части корпуса, а нижняя секция скрыта под компактным антигравитационным модулем.;Этот механизм почти не выглядит опасным, но его быстрые и резкие перемещения не дают надолго потерять его из виду. Старые инструменты и вращающиеся манипуляторы способны нанести куда больше вреда, чем кажется сначала.;A small metallic body covered in mounts for tools, thin manipulators, and exposed cables. A large optical sensor is fixed to the front of the chassis, while the lower section is concealed beneath a compact antigravity module.;This mechanism hardly appears dangerous, yet its quick and abrupt movements make it difficult to lose sight of. Old tools and rotating manipulators are capable of causing far more harm than expected.
m;Cave Spider;Паук;"ACID, RNG(4), PER+,
DEX-,
SPD-,
ATK-";5;Базовый;15–22;4;22;Крупное низкое тело, покрытое матовым тёмным хитином, и длинные неестественно изогнутые лапы. Передняя часть туловища заметно массивнее задней, а узкие жвала выглядят слишком тяжёлыми для такой твари.;Медлительная, но крайне опасная тварь. Его атаки нечасты, но каждая способна пробить защиту. Плотный хитин делает его неожиданно устойчивым к обычным ударам, а кислотные плевки позволяют держать добычу на расстоянии.;A large low body covered in dull dark chitin with long unnaturally bent legs. The front part of its body is noticeably larger than the rear, while its narrow mandibles look too heavy for such a creature.;A slow but extremely dangerous creature. Its attacks are rare, yet each one is capable of breaking through armor. Dense chitin makes it unexpectedly resistant to ordinary blows, while its acidic spit allows it to keep prey at a distance.
M;Mechatron;Мехатрон;ARM, F+, P!, SPD-, DEX-, NEU;5;Базовый;15–23;9;24;Широкий металлический корпус покрыт слоями ржавчины и старыми вмятинами. Несколько массивных манипуляторов свисают вдоль тяжёлой рамы, а тусклые линзы глубоко утоплены в защитный кожух. От него веет ощущением давно забытого механизма, который всё ещё продолжает выполнять свою задачу.;Сам по себе этот механизм не проявляет агрессии. Но его тяжёлый корпус способен выдержать куда больше ударов, чем кажется, а старые инструменты легко превращаются в оружие, если загнать машину в угол.;A wide metallic chassis covered in rust and old dents. Several massive manipulators hang along the heavy frame, while dim lenses are deeply recessed into a protective housing. It carries the feeling of a long-forgotten machine still continuing its task.;This mechanism shows no aggression on its own. Yet its heavy chassis can endure far more punishment than expected, while old industrial tools easily become deadly weapons once the machine is cornered.
t;Turret;Турель;"FIRE, ARM, F+, P!, RNG(5),
ATK+
STATIC";6;Сильный;15–23;3;26;Низкая тяжёлая конструкция собрана из толстых металлических пластин и закреплена на массивном вращающемся основании. Передняя часть корпуса заканчивается длинным орудийным стволом, покрытым следами копоти и старого перегрева, а рядом виднеются тусклые оптические сенсоры.;Этот механизм почти не двигается, но способен удерживать под огнём целые проходы. Его выстрелы не выглядят особенно разрушительными, однако раскалённые снаряды быстро превращают любое укрытие в опасное место.;A low heavy structure built from thick metal plates and mounted on a massive rotating base. The front section ends in a long weapon barrel covered in soot and traces of overheating, while dim optical sensors are mounted nearby.;This mechanism barely moves, yet it is capable of keeping entire corridors under fire. Its shots do not appear especially destructive, but the heated projectiles quickly turn any cover into a dangerous place.
R;Robot;Робот;ARM, F+, P!;6;Базовый;18–26;5;28;Угловатый металлический корпус покрыт потемневшей краской, ржавчиной и следами старого ремонта. Квадратная голова с двумя круглыми линзами напоминает грубую пародию на человеческое лицо, а массивные манипуляторы заканчиваются тяжёлыми промышленными захватами.;Старый механизм действует с пугающей уверенностью, словно его системы до сих пор работают без единого сбоя. Он не выглядит особенно сложным, но прочный корпус и точные движения делают его опаснее, чем кажется.;An angular metallic body covered in faded paint, rust, and traces of old repairs. Its square head with two round lenses resembles a crude parody of a human face, while massive manipulators end in heavy industrial clamps.;The old machine acts with unsettling confidence, as if its systems still operate without a single failure. It does not appear especially advanced, yet its durable frame and precise movements make it far more dangerous than it seems.
C;Cyborg;Киборг;ARM, DEX+, F+, P!, FIRE, SPD+;7;Сильный;24–32;4;47;Под слоями потемневших пластин всё ещё угадываются человеческие черты. Одна сторона тела скрыта под грубыми металлическими конструкциями, а вместо части лица виднеются тусклые линзы и оголённые механизмы. Кожа выглядит бледной и натянутой, словно живое тело слишком долго существует рядом с машиной.;Эта тварь сочетает человеческую подвижность с холодной точностью механизма. Её сложно остановить болью или страхом, а каждое движение выглядит слишком выверенным для живого существа.;Beneath layers of darkened plates human features can still be recognized. One side of the body is hidden beneath crude metallic constructions, while part of the face has been replaced by dim lenses and exposed mechanisms. The skin appears pale and stretched, as if the living body has existed beside machinery for far too long.;This creature combines human agility with the cold precision of a machine. Pain and fear seem unable to stop it, while every movement appears unnaturally calculated for a living being.
