RND Weight;Имя;Name;Price (known);Price (unknown);Действие;Описание;Description
50;Здоровье;Healing;68;58;Поправляет здоровье на 30-60%;Тёплая лечебная смесь пахнет травами и мёдом. Несколько глотков возвращают силы, приглушают боль и помогают телу пережить самые тяжёлые раны.;The warm medicinal brew smells of herbs and honey. A few careful swallows restore strength, dull the pain, and help the body endure its deepest wounds.
30;Масло;Oil;14;58;Заправляет масляную лампу или накладывает отравление с начальным уроном 10% от max HP;Густое масло пригодно для лампы, но в чужом теле ведёт себя иначе: оно медленно разносится по крови и оставляет после себя тяжёлую слабость.;Thick lamp oil burns steadily in a proper vessel, but inside a living body it spreads through the blood and leaves behind a slow, lingering weakness.
10;Яд;Poison;32;58;Накладывает отравление с начальным уроном 40% от max HP;Прозрачная жидкость почти не пахнет и кажется безобидной. Ошибка исчезает после первого глотка, когда яд начинает медленно отнимать силы.;The clear liquid has almost no smell and looks harmless. That illusion ends with the first swallow, as the poison begins its slow work of draining strength.
70;Бульон;Bouillon;22;58;Утоляет голод (300);Горячий бульон с солью и простыми овощами не обещает роскоши, зато быстро согревает желудок и возвращает силы уставшему исследователю.;Hot broth with salt and humble vegetables offers no luxury, but it quickly warms the stomach and restores enough strength for a tired explorer to continue.
70;Испорченный бульон;Spoiled Bouillon;6;58;Вызывает рвоту и увеличивает голод;Под плёнкой на поверхности скрывается густая кислая масса. Запах предупреждает об опасности, но уже поздно, если первый глоток сделан.;A sour sludge hides beneath the film on its surface. The smell is warning enough, but it comes too late once the first mouthful has already been swallowed.
10;Кислота;Acid;34;58;Наносит ACID урон;Едкая жидкость обжигает рот и желудок, а затем начинает разъедать тело изнутри. Боль приходит быстро и не оставляет сомнений в природе напитка.;The caustic liquid burns the mouth and stomach before eating through the body from within. The pain arrives quickly and leaves no doubt about the drink's true nature.
40;Вода;Water;4;58;Никакого эффекта;Чистая холодная вода без вкуса и запаха. Она не обладает особыми свойствами, но иногда именно такая простая находка спасает пересохшего путника.;Clean, cold water with no taste and no hidden property. It offers no miracle, but a plain drink can still save a traveler whose throat has gone dry.
30;Противоядие;Antidote;52;58;Снимает POISON;Горькое лекарство обжигает язык и желудок. Его состав связывает яд и постепенно очищает кровь, возвращая телу контроль над собственными силами.;The bitter medicine burns the tongue and stomach. Its ingredients bind the poison and slowly cleanse the blood, giving the body back control of its own strength.
10;Жидкий огонь;Liquid Fire;30;58;Наносит урон огнём;Жидкий огонь вспыхивает в желудке, обжигая горло и внутренности. Несколько мгновений достаточно, чтобы понять: это не метафора и не обычный напиток.;Liquid fire ignites in the stomach, scorching the throat and entrails. A few moments are enough to understand that this is no metaphor and certainly no ordinary drink.
20;Машинное масло;Machine Oil;96;58;Снимает поломку с предмета, если выпить - наносит 20 очков урона;Тяжёлое масло заполняет трещины и смазывает заевшие механизмы. Для живого тела оно не предназначено и обжигает изнутри.;Heavy machine oil fills cracks and frees jammed mechanisms. It was never meant for a living body, where it burns through the stomach and leaves a metallic ache.
